client_id,persona_archetype,household_income_usd,net_worth_usd,liquidity_30d_usd,cashflow_volatility_pct,income_stream_count,primary_tax_bracket_pct,jurisdiction_country,kyc_risk_flag,compliance_restrictions,ethical_screens,product_blacklist,leverage_limit_x,drawdown_tolerance_pct,target_volatility_pct,goal_stack,time_horizon_primary_years,advice_style,explanation_depth,preferred_metrics,channel_preference_ranked,nudges_opt_in,notification_quiet_hours,trust_score_dynamic_1_100,trust_decay_days,engagement_score_1_100,adherence_score_1_100,consent_data_sources,data_freshness_days,advisor_relationship,last_action_type,last_action_date,last_action_outcome,model_version_current,safety_overrides,notes_agent_constraints
A0014,Stabilizer,55919,212988,21856,8.4,2,10,UK,Low,AccreditedOnly;NoDerivatives,,Crypto;LeveragedETFs;PennyStocks,1.0,9.5,5.8,Retirement:15y;Emergency:1y;Debt:2y,15,Concise,Medium,MaxDD;TaxCost,In-Person>App>Chat>Email>Phone,true,23:30-06:45,52,146,41,39,CreditBureau;OpenBanking,16,None,Rebalance,2025-08-30,Failed,v2.9.9,NoMargin;PauseWhenVIX>30,Keep expenses buffer ≥ 4 months
A0015,Stabilizer,60689,121964,11685,5.1,4,10,US,Low,,NoFossilFuel;ESGOnly,Crypto;LeveragedETFs;PennyStocks;PrivateCredit,1.0,14.0,5.6,Retirement:15y;Emergency:1y;Healthcare:8y,15,Educational,Medium,TaxCost;Sharpe;MaxDD,Phone>In-Person>Chat,true,21:15-07:15,57,172,49,42,OpenBanking;Payroll,18,None,PlanUpdate,2025-10-18,Success,v2.10.5,NoAutoTradesBelow$1k;NoMargin,Keep expenses buffer ≥ 4 months
A0016,Preserver,82972,458767,47959,5.2,4,10,IN,Low,,,Crypto;LeveragedETFs;PennyStocks,1.2,8.7,7.2,Retirement:15y;Emergency:1y,15,Educational,Medium,MaxDD;TaxCost,Email>Chat>App>Phone>In-Person,false,21:45-07:15,79,139,74,73,Brokerage;OpenBanking;Payroll,10,Hybrid,Rebalance,2025-06-20,Success,v1.10.7,NoAutoTradesBelow$1k;NoIlliquids;NoPennyStocks,Maintain ≥ 12m cash runway and low drawdown
A0017,Builder,178557,532160,24584,11.2,3,12,US,Medium,,,,1.4,20.3,10.7,Home:3y;Retirement:30y;Healthcare:8y,3,Educational,Medium,Sharpe;TaxCost,App>Email>Phone>Chat>In-Person,true,20:45-06:45,57,135,42,41,OpenBanking,10,None,AlertAcknowledge,2025-07-05,Success,v2.9.9,NoMargin,Prioritize liquidity and down payment savings
A0018,Explorer,177026,1178509,52521,14.3,2,12,US,Low,NoIlliquids,,PennyStocks,1.8,22.9,13.5,Business:5y;Travel:2y;Debt:2y,5,Collaborative,Medium,IRR;MaxDD,Email>In-Person>Chat>App>Phone,false,22:15-06:45,57,49,56,46,CreditBureau;OpenBanking,5,None,AutoTransfer,2025-08-21,Success,v1.8.5,LimitOrderOnly;NoAutoTradesBelow$1k;PauseWhenVIX>30,Allow small experimental sleeve ≤ 3%
A0019,Preserver,147505,1301582,143768,4.5,3,12,US,Low,,,Crypto;LeveragedETFs;PennyStocks,1.1,13.6,6.9,Retirement:15y;Emergency:1y;Education:6y,15,Collaborative,Shallow,Sharpe;MaxDD,In-Person>Email>Phone>App,false,20:15-08:15,76,177,69,74,Brokerage;CreditBureau;OpenBanking,14,Hybrid,AlertAcknowledge,2025-07-06,Success,v2.10.3,NoIlliquids;NoMargin;NoPennyStocks,Maintain ≥ 12m cash runway and low drawdown
A0020,Preserver,115205,1546038,59729,4.1,4,15,CA,Medium,,,Crypto;LeveragedETFs;PennyStocks,1.1,13.3,8.8,Retirement:15y;Emergency:1y;Education:6y,15,Directive,Shallow,Sharpe;MaxDD,In-Person>Email>Phone>Chat,true,20:00-06:30,66,157,61,54,Brokerage;OpenBanking,9,Human,Rebalance,2025-08-14,Partial,v1.9.8,LimitOrderOnly;NoMargin;StopLossDisabled,Maintain ≥ 12m cash runway and low drawdown
A0021,Builder,92209,125274,8117,8.6,3,10,US,Low,,ESGOnly;NoTobacco,PrivateCredit,1.5,23.1,8.8,Home:3y;Retirement:30y;Debt:2y,3,Collaborative,Medium,Sharpe;TaxCost,Email>App>Phone,true,23:00-06:00,64,125,63,56,OpenBanking,8,None,PlanUpdate,2025-09-09,Partial,v2.10.6,NoMargin;NoPennyStocks;PauseWhenVIX>30,Prioritize liquidity and down payment savings
A0022,Optimizer,254070,2666775,214863,10.6,2,12,US,Medium,AccreditedOnly;NoIlliquids,,PennyStocks,1.7,27.5,11.0,Wealth:10y;Estate:20y,10,Educational,Shallow,Sharpe;MaxDD;TaxCost,Phone>App>Chat,true,23:15-06:30,63,66,77,66,Brokerage;CreditBureau;OpenBanking;Payroll,6,None,PlanUpdate,2025-01-19,Success,v2.10.5,NoPennyStocks;StopLossDisabled,Enforce tax budget and position caps
A0023,Preserver,67891,571967,68519,6.0,1,10,IN,Medium,,,Crypto;LeveragedETFs;PennyStocks,1.1,13.2,9.0,Retirement:15y;Emergency:1y;Education:6y,15,Educational,Medium,TaxCost;Sharpe,Chat>App>Email,true,19:45-08:00,72,173,65,64,Brokerage;CreditBureau;OpenBanking,12,Human,AlertAcknowledge,2025-08-23,Success,v2.9.8,NoAutoTradesBelow$1k;NoMargin,Maintain ≥ 12m cash runway and low drawdown
A0024,Stabilizer,119832,556441,61631,8.4,3,12,US,Low,,NoWeapons;NoFossilFuel,Crypto;LeveragedETFs;PennyStocks,1.1,16.6,8.5,Retirement:15y;Emergency:1y;Debt:2y,15,Collaborative,Medium,TaxCost;MaxDD;Sharpe,Phone>In-Person>Email>App,true,23:30-07:00,60,153,54,53,OpenBanking,11,None,AlertAcknowledge,2025-10-31,Failed,v2.8.8,LimitOrderOnly;NoMargin;NoPennyStocks,Keep expenses buffer ≥ 4 months
A0025,Builder,37637,182940,5301,11.5,1,10,US,Low,,ESGOnly,Crypto,1.4,21.5,7.4,Home:3y;Retirement:30y;Debt:2y,3,Directive,Deep,TaxCost;Sharpe;IRR,App>Email>Chat>Phone,false,20:15-08:00,66,129,70,70,CreditBureau;OpenBanking,9,None,AutoTransfer,2025-10-31,Success,v2.9.9,StopLossDisabled,Prioritize liquidity and down payment savings
A0026,Preserver,76488,1171615,76153,8.7,1,10,US,Low,,,Crypto;LeveragedETFs;PennyStocks,1.1,11.7,8.3,Retirement:15y;Emergency:1y,15,Collaborative,Medium,TaxCost;MaxDD;Sharpe,Phone>Chat>App,true,21:45-08:00,82,238,91,92,Brokerage;CreditBureau;OpenBanking;Payroll,11,None,AutoTransfer,2025-08-05,Success,v1.10.2,LimitOrderOnly;NoMargin;PauseWhenVIX>30,Maintain ≥ 12m cash runway and low drawdown
A0027,Preserver,141894,1729701,138881,7.4,2,15,AU,Low,AccreditedOnly,,Crypto;LeveragedETFs;PennyStocks,1.1,16.2,5.9,Retirement:15y;Emergency:1y,15,Directive,Medium,MaxDD;TaxCost,App>Phone>Chat,true,23:30-08:30,78,199,81,79,Brokerage;CreditBureau;OpenBanking,3,Human,PlanUpdate,2025-05-25,Success,v2.9.3,LimitOrderOnly,Maintain ≥ 12m cash runway and low drawdown
A0028,Preserver,55744,807980,44402,4.5,3,10,SG,Low,,NoTobacco;NoFossilFuel,Crypto;LeveragedETFs;PennyStocks,1.0,15.2,5.6,Retirement:15y;Emergency:1y;Debt:2y,15,Educational,Medium,TaxCost;Sharpe,Email>App>Chat>In-Person,true,19:00-07:30,74,204,81,70,Brokerage;CreditBureau;OpenBanking,3,Hybrid,PlanUpdate,2025-03-13,Success,v2.9.1,NoIlliquids;NoMargin,Maintain ≥ 12m cash runway and low drawdown
A0029,Stabilizer,68952,236948,31436,9.0,1,10,US,Low,NoIlliquids,ESGOnly;NoFossilFuel,Crypto;LeveragedETFs;PennyStocks,1.0,14.1,8.5,Retirement:15y;Emergency:1y;Healthcare:8y,15,Educational,Medium,Sharpe;TaxCost;MaxDD,Email>Phone>App,true,23:00-07:15,60,98,56,59,CreditBureau;OpenBanking,6,Hybrid,AlertAcknowledge,2025-01-22,Success,v2.8.3,LimitOrderOnly;NoAutoTradesBelow$1k;NoMargin;StopLossDisabled,Keep expenses buffer ≥ 4 months
A0030,Preserver,69933,639029,41527,6.0,3,10,US,Low,,,Crypto;LeveragedETFs;PennyStocks,1.2,10.7,7.8,Retirement:15y;Emergency:1y;Healthcare:8y,15,Concise,Shallow,TaxCost;Sharpe;MaxDD,Email>App>Phone>Chat,true,20:45-07:00,69,164,60,53,Brokerage;CreditBureau;OpenBanking,12,Hybrid,AlertAcknowledge,2025-09-05,Success,v2.9.8,NoIlliquids;NoMargin,Maintain ≥ 12m cash runway and low drawdown
A0031,Preserver,89121,939644,60333,3.3,4,10,US,Low,,NoWeapons;NoTobacco,Crypto;LeveragedETFs;PennyStocks,1.1,13.0,7.8,Retirement:15y;Emergency:1y;Debt:2y,15,Directive,Medium,MaxDD;Sharpe;TaxCost,Phone>In-Person>App,false,19:30-08:15,67,160,60,60,Brokerage;CreditBureau;OpenBanking,8,Hybrid,AlertAcknowledge,2025-05-03,Success,v1.8.5,NoMargin;NoPennyStocks,Maintain ≥ 12m cash runway and low drawdown
A0032,Preserver,32227,268203,26901,8.3,1,10,US,Low,,,Crypto;LeveragedETFs;PennyStocks,1.0,11.7,8.5,Retirement:15y;Emergency:1y;Healthcare:8y,15,Collaborative,Medium,Sharpe;TaxCost,In-Person>App>Chat>Phone,true,20:45-07:30,82,177,75,78,Brokerage;OpenBanking,7,Hybrid,Rebalance,2025-01-21,Success,v1.10.4,NoMargin,Maintain ≥ 12m cash runway and low drawdown
A0033,Stabilizer,34750,98707,4610,4.0,4,10,IN,Low,,,Crypto;LeveragedETFs;PennyStocks;PrivateCredit,1.0,10.2,5.2,Retirement:15y;Emergency:1y;Healthcare:8y,15,Collaborative,Medium,MaxDD;Sharpe,App>In-Person>Email>Phone>Chat,true,20:45-08:00,52,164,58,49,CreditBureau;OpenBanking,14,None,PlanUpdate,2025-05-30,Partial,v1.9.3,NoAutoTradesBelow$1k,Keep expenses buffer ≥ 4 months
A0034,Stabilizer,54505,156845,12202,7.5,1,10,US,Low,,ESGOnly,Crypto;LeveragedETFs;PennyStocks,1.1,11.7,5.0,Retirement:15y;Emergency:1y,15,Collaborative,Deep,Sharpe;TaxCost;MaxDD,Phone>Email>Chat>App>In-Person,false,23:45-08:00,62,105,69,57,CreditBureau;OpenBanking,12,None,PlanUpdate,2025-05-13,Success,v1.10.5,NoAutoTradesBelow$1k;NoIlliquids,Keep expenses buffer ≥ 4 months
A0035,Stabilizer,107961,607210,30923,7.1,1,12,US,High,,,Crypto;LeveragedETFs;PennyStocks,1.1,9.6,7.1,Retirement:15y;Emergency:1y;Debt:2y,15,Concise,Shallow,Sharpe;TaxCost;MaxDD,Chat>Phone>App>In-Person,true,19:30-06:15,47,117,39,35,CreditBureau;OpenBanking,17,None,Rebalance,2025-08-19,Partial,v1.9.3,LimitOrderOnly;NoMargin,Keep expenses buffer ≥ 4 months
A0036,Builder,61197,121906,5425,8.9,3,10,US,Medium,,,PrivateCredit,1.4,13.9,9.0,Home:3y;Retirement:30y;Education:6y,3,Collaborative,Shallow,Sharpe;IRR,In-Person>App>Phone,true,20:45-06:45,57,112,49,44,OpenBanking,5,None,AutoTransfer,2025-09-08,Success,v1.8.8,LimitOrderOnly;NoMargin;PauseWhenVIX>30,Prioritize liquidity and down payment savings
A0037,Preserver,98828,1553151,67478,4.0,4,10,US,Low,NoDerivatives,ESGOnly;NoWeapons,Crypto;LeveragedETFs;PennyStocks,1.1,13.0,8.8,Retirement:15y;Emergency:1y;Debt:2y,15,Educational,Deep,MaxDD;TaxCost,App>Email>In-Person>Phone,false,23:45-06:00,68,226,71,59,Brokerage;OpenBanking,12,None,Rebalance,2025-10-13,Success,v2.8.5,StopLossDisabled,Maintain ≥ 12m cash runway and low drawdown
A0038,Optimizer,170094,1388650,75997,7.1,4,15,DE,Low,NoIlliquids;AccreditedOnly,NoFossilFuel;NoTobacco,PennyStocks,1.6,21.7,12.4,Wealth:10y;Estate:20y;Education:6y,10,Educational,Medium,IRR;TaxCost;MaxDD,In-Person>Phone>Email>App>Chat,true,19:00-07:15,61,77,73,66,Brokerage;OpenBanking,1,Hybrid,AutoTransfer,2025-02-11,Success,v2.10.1,LimitOrderOnly,Enforce tax budget and position caps
A0039,Stabilizer,50543,94699,9008,5.0,3,10,US,Low,AccreditedOnly,NoWeapons;NoFossilFuel,Crypto;LeveragedETFs;PennyStocks,1.1,8.3,5.3,Retirement:15y;Emergency:1y;Debt:2y,15,Concise,Deep,MaxDD;Sharpe;TaxCost,In-Person>Phone>Chat>Email,true,22:00-06:15,55,129,40,39,OpenBanking;Payroll,19,None,AlertAcknowledge,2025-09-17,Success,v1.8.9,LimitOrderOnly,Keep expenses buffer ≥ 4 months
A0040,Explorer,75179,926103,29249,21.6,2,10,US,Medium,NoDerivatives,NoWeapons;ESGOnly,,1.9,24.7,15.3,Business:5y;Travel:2y;Education:6y,5,Educational,Medium,IRR;TaxCost;MaxDD,Phone>In-Person>Chat>App>Email,true,20:00-06:00,51,75,46,46,CreditBureau;OpenBanking,4,Hybrid,Rebalance,2025-05-21,Success,v1.10.2,LimitOrderOnly;NoAutoTradesBelow$1k,Allow small experimental sleeve ≤ 3%
A0041,Optimizer,80605,757749,22684,7.7,3,10,US,Low,,,PennyStocks;PrivateCredit,1.5,24.7,12.7,Wealth:10y;Estate:20y;Education:6y,10,Collaborative,Medium,TaxCost;IRR,In-Person>Phone>Email>Chat>App,true,22:45-07:45,74,77,60,54,Brokerage;OpenBanking,6,Human,Rebalance,2025-12-03,Success,v1.10.4,NoAutoTradesBelow$1k;NoIlliquids;PauseWhenVIX>30,Enforce tax budget and position caps
A0042,Builder,30410,130286,4500,13.6,1,10,US,Medium,,NoFossilFuel;ESGOnly,,1.6,17.0,8.3,Home:3y;Retirement:30y,3,Concise,Medium,MaxDD;Sharpe,Phone>Email>App>Chat,true,21:30-07:45,55,94,47,39,OpenBanking,14,None,Rebalance,2025-07-14,Partial,v2.10.6,LimitOrderOnly;NoPennyStocks;PauseWhenVIX>30,Prioritize liquidity and down payment savings
A0043,Preserver,84426,636072,54384,7.0,3,10,US,Medium,,,Crypto;LeveragedETFs;PennyStocks,1.0,10.0,6.5,Retirement:15y;Emergency:1y;Debt:2y,15,Concise,Shallow,Sharpe;TaxCost,In-Person>App>Phone>Email>Chat,true,19:45-07:00,73,144,59,54,Brokerage;OpenBanking,11,Human,AlertAcknowledge,2025-07-21,Success,v2.8.8,LimitOrderOnly;NoAutoTradesBelow$1k;NoMargin,Maintain ≥ 12m cash runway and low drawdown
A0044,Stabilizer,93059,165923,22862,4.6,4,10,US,Low,NoDerivatives,NoTobacco,Crypto;LeveragedETFs;PennyStocks,1.1,15.5,7.6,Retirement:15y;Emergency:1y,15,Concise,Deep,Sharpe;TaxCost;MaxDD,App>In-Person>Email>Chat>Phone,false,22:30-08:45,61,150,54,46,CreditBureau;OpenBanking,8,None,Rebalance,2025-02-28,Success,v1.8.5,NoAutoTradesBelow$1k;NoMargin;NoPennyStocks,Keep expenses buffer ≥ 4 months
A0045,Optimizer,142813,4041128,109804,8.1,3,12,US,Low,NoDerivatives,NoFossilFuel,PennyStocks,1.6,19.8,11.7,Wealth:10y;Estate:20y;Healthcare:8y,10,Concise,Medium,TaxCost;IRR;MaxDD,App>Email>Chat>In-Person>Phone,false,23:45-08:30,68,107,66,64,Brokerage;CreditBureau;OpenBanking;Payroll,7,Hybrid,AlertAcknowledge,2025-05-05,Success,v2.8.1,PauseWhenVIX>30;StopLossDisabled,Enforce tax budget and position caps
A0046,Explorer,65819,341741,22612,16.9,2,10,US,Low,NoShortSelling,NoTobacco,Crypto;LeveragedETFs;PennyStocks,1.9,29.4,14.1,Business:5y;Travel:2y;Healthcare:8y,5,Concise,Shallow,TaxCost;Sharpe,App>Email>Phone>Chat,true,19:45-06:45,62,79,68,67,CreditBureau;OpenBanking,2,Human,AutoTransfer,2025-09-06,Success,v2.8.2,NoMargin,Allow small experimental sleeve ≤ 3%
A0047,Optimizer,398786,1808765,208576,8.3,1,12,US,Low,NoDerivatives;AccreditedOnly,,PennyStocks,1.4,24.6,10.3,Wealth:10y;Estate:20y;Education:6y,10,Educational,Medium,Sharpe;IRR;TaxCost,Phone>Chat>Email,false,20:30-06:45,63,99,55,52,Brokerage;CreditBureau;OpenBanking;Payroll,3,Human,PlanUpdate,2025-05-01,Success,v1.10.8,NoAutoTradesBelow$1k,Enforce tax budget and position caps
A0048,Stabilizer,86979,521104,17133,5.8,3,10,US,Medium,,ESGOnly,Crypto;LeveragedETFs;PennyStocks,0.9,11.4,5.5,Retirement:15y;Emergency:1y;Healthcare:8y,15,Concise,Deep,TaxCost;Sharpe,Phone>In-Person>Chat,true,19:30-06:45,58,102,62,56,CreditBureau;OpenBanking,5,Human,AlertAcknowledge,2025-02-12,Success,v2.10.8,NoMargin;PauseWhenVIX>30,Keep expenses buffer ≥ 4 months
A0049,Preserver,146019,650433,67072,4.6,4,12,US,Low,NoShortSelling;AccreditedOnly,,Crypto;LeveragedETFs;PennyStocks,1.0,14.0,8.9,Retirement:15y;Emergency:1y;Education:6y,15,Educational,Shallow,MaxDD;TaxCost;Sharpe,App>Email>Chat>Phone>In-Person,true,22:45-08:45,80,132,80,77,Brokerage;OpenBanking,6,Hybrid,PlanUpdate,2025-05-15,Success,v2.10.5,NoAutoTradesBelow$1k;PauseWhenVIX>30;StopLossDisabled,Maintain ≥ 12m cash runway and low drawdown
A0050,Preserver,241652,1464570,127754,4.7,4,12,US,Low,,NoWeapons;NoTobacco,Crypto;LeveragedETFs;PennyStocks,0.9,10.0,5.1,Retirement:15y;Emergency:1y;Healthcare:8y,15,Directive,Shallow,Sharpe;TaxCost,In-Person>Chat>Phone>App>Email,false,21:30-08:00,67,154,71,69,Brokerage;CreditBureau;OpenBanking;Payroll,4,Hybrid,AlertAcknowledge,2025-08-02,Failed,v1.8.5,NoMargin;NoPennyStocks,Maintain ≥ 12m cash runway and low drawdown
A0051,Builder,36962,138751,7430,8.5,3,10,US,Medium,NoIlliquids;AccreditedOnly,,LeveragedETFs;PrivateCredit,1.7,19.9,9.2,Home:3y;Retirement:30y;Education:6y,3,Collaborative,Shallow,IRR;Sharpe,Chat>In-Person>App>Email>Phone,true,22:45-07:15,59,73,50,45,CreditBureau;OpenBanking;Payroll,18,None,AutoTransfer,2025-08-31,Success,v2.10.4,NoIlliquids;NoMargin;NoPennyStocks,Prioritize liquidity and down payment savings
A0052,Optimizer,71725,317463,21260,9.1,1,10,US,Low,,ESGOnly;NoTobacco,PennyStocks;PrivateCredit,1.8,22.0,13.1,Wealth:10y;Estate:20y;Debt:2y,10,Concise,Medium,Sharpe;IRR,App>Phone>Email>In-Person,true,21:30-08:00,66,90,64,62,Brokerage;OpenBanking,4,Human,PlanUpdate,2025-02-06,Success,v2.9.9,NoAutoTradesBelow$1k;NoPennyStocks,Enforce tax budget and position caps
A0053,Optimizer,288328,1825516,103560,9.3,2,12,US,Medium,NoIlliquids;NoDerivatives,NoTobacco;NoWeapons,LeveragedETFs;PennyStocks,1.9,25.0,12.7,Wealth:10y;Estate:20y;Healthcare:8y,10,Educational,Deep,MaxDD;Sharpe;IRR,App>Email>Chat,true,21:45-06:00,52,110,49,44,Brokerage;CreditBureau;OpenBanking,1,Hybrid,Rebalance,2025-12-26,Success,v2.9.2,NoAutoTradesBelow$1k;NoIlliquids,Enforce tax budget and position caps
A0054,Preserver,71737,964632,77473,3.3,4,10,DE,Medium,NoShortSelling;NoDerivatives,,Crypto;LeveragedETFs;PennyStocks,0.9,11.8,7.2,Retirement:15y;Emergency:1y,15,Concise,Shallow,TaxCost;MaxDD,In-Person>App>Chat>Email,true,22:30-08:45,73,227,77,81,Brokerage;OpenBanking,13,Hybrid,Rebalance,2024-12-28,Partial,v1.10.7,NoMargin;NoPennyStocks,Maintain ≥ 12m cash runway and low drawdown
A0055,Stabilizer,74047,357701,27472,5.5,3,10,US,Low,AccreditedOnly,NoFossilFuel,Crypto;LeveragedETFs;PennyStocks,1.2,17.6,8.4,Retirement:15y;Emergency:1y;Education:6y,15,Concise,Shallow,TaxCost;MaxDD,Phone>Chat>Email>In-Person>App,true,20:00-06:45,57,133,58,61,OpenBanking;Payroll,16,None,AlertAcknowledge,2025-09-11,Success,v1.9.5,StopLossDisabled,Keep expenses buffer ≥ 4 months
A0056,Optimizer,205799,1299849,116362,8.5,2,15,DE,Medium,,NoWeapons,PennyStocks,1.8,20.9,10.8,Wealth:10y;Estate:20y;Healthcare:8y,10,Concise,Deep,MaxDD;IRR,Phone>App>Email>Chat,false,20:15-07:00,62,100,51,50,Brokerage;CreditBureau;OpenBanking,1,None,Rebalance,2025-11-04,Success,v2.8.8,NoIlliquids;StopLossDisabled,Enforce tax budget and position caps
